module,items,urban,rural
M1 [Ante Natal Care (ANC)],Total number of pregnant women registered for ANC,73027,73027
M1 [Ante Natal Care (ANC)],"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",64846,64846
M1 [Ante Natal Care (ANC)],Number of PW given TT1/ Td1,70606,66987
M1 [Ante Natal Care (ANC)],Number of PW given TT2 / Td2,64883,62155
M1 [Ante Natal Care (ANC)],Number of PW given TT Booster/ Td Booster,6786,6278
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 180 Iron Folic Acid (IFA) tablets,72218,70261
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 360 Calcium tablets,63530,61593
M1 [Ante Natal Care (ANC)],Number of PW given one Albendazole tablet after 1st trimester,59449,57864
M1 [Ante Natal Care (ANC)],Number of PW received 4 or more ANC check ups,68210,66389
M1 [Ante Natal Care (ANC)],Number of PW given ANC Corticosteroids in Pre Term Labour,1563,1310
M1 [Ante Natal Care (ANC)],New cases of PW with hypertension detected,2632,1993
M1 [Ante Natal Care (ANC)],"Out of the new cases of PW with hypertension detected, cases managed at institution",1214,905
M1 [Ante Natal Care (ANC)],Number of Eclampsia cases managed during delivery,240,163
M1 [Ante Natal Care (ANC)],Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,68486,67339
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<11 (out of total tested cases)(7.1 to 10.9),41998,41392
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<7 (out of total tested cases),1046,853
M1 [Ante Natal Care (ANC)],Number of PW having severe anaemia (Hb < 7) treated,543,452
M1 [Ante Natal Care (ANC)],Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),15764,12379
M1 [Ante Natal Care (ANC)],Number of PW tested positive for GDM,404,167
M1 [Ante Natal Care (ANC)],Number of PW given insulin out of total tested positive for GDM,110,21
M1 [Ante Natal Care (ANC)],Number of PW tested using POC test for Syphilis,1112,1112
M1 [Ante Natal Care (ANC)],"Out of above,number of PW found sero positive for Syphilis",13,13
M1 [Ante Natal Care (ANC)],Number of pregnant women tested for Syphilis,31431,27405
M1 [Ante Natal Care (ANC)],Number of pregnant women tested found sero positive for Syphilis,39,37
M1 [Ante Natal Care (ANC)],Number of syphilis positive pregnanat women treated for Syphilis,5,5
M1 [Ante Natal Care (ANC)],Number of babies daignosed with Congenital Syphilis,0,0
M1 [Ante Natal Care (ANC)],Number of babies treated for Congenital Syphilis,0,0
M2 [Deliveries],Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM/ Midwife),1,1
M2 [Deliveries],Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),0,0
M2 [Deliveries],Number of PW given Tablet Misoprostol during home delivery,9,9
M2 [Deliveries],Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,0,0
M2 [Deliveries],Number of Institutional Deliveries conducted (Including C-Sections),61613,22525
M2 [Deliveries],Out of total institutional deliveries number of women discharged within 48 hours of delivery,9349,4955
M2 [Deliveries],Number of newborns received 6 HBNC  visits after Institutional Delivery,37899,37894
M3 [Number of Caesarean (C-Section) deliveries],Total C -Section deliveries performed,27876,7854
M3 [Number of Caesarean (C-Section) deliveries],"C-sections, performed at night (8 PM- 8 AM)",3818,1653
M4 [Pregnancy outcome & details of new-born],Live Birth - Male,31418,11420
M4 [Pregnancy outcome & details of new-born],Live Birth - Female,30102,10943
M4 [Pregnancy outcome & details of new-born],Number of Pre term newborns (< 37 weeks of pregnancy),1485,865
M4 [Pregnancy outcome & details of new-born],Still Birth,344,299
M4 [Pregnancy outcome & details of new-born],Abortion (spontaneous),712,571
M4 [Pregnancy outcome & details of new-born],MTP up to 12 weeks of pregnancy,496,141
M4 [Pregnancy outcome & details of new-born],MTP more than 12 weeks of pregnancy,217,110
M4 [Pregnancy outcome & details of new-born],Post Abortion/ MTP Complications Identified,21,17
M4 [Pregnancy outcome & details of new-born],Post Abortion/ MTP Complications Treated,12,11
