module,items,urban,rural
M1 [Ante Natal Care (ANC)],Total number of pregnant women registered for ANC,220201,220201
M1 [Ante Natal Care (ANC)],"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",194058,194058
M1 [Ante Natal Care (ANC)],Number of PW given TT1/ Td1,212033,201919
M1 [Ante Natal Care (ANC)],Number of PW given TT2 / Td2,202830,194804
M1 [Ante Natal Care (ANC)],Number of PW given TT Booster/ Td Booster,20703,19374
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 180 Iron Folic Acid (IFA) tablets,221013,214784
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 360 Calcium tablets,196934,190683
M1 [Ante Natal Care (ANC)],Number of PW given one Albendazole tablet after 1st trimester,179421,175758
M1 [Ante Natal Care (ANC)],Number of PW received 4 or more ANC check ups,207787,203137
M1 [Ante Natal Care (ANC)],Number of PW given ANC Corticosteroids in Pre Term Labour,4758,3751
M1 [Ante Natal Care (ANC)],New cases of PW with hypertension detected,6429,4514
M1 [Ante Natal Care (ANC)],"Out of the new cases of PW with hypertension detected, cases managed at institution",3516,2539
M1 [Ante Natal Care (ANC)],Number of Eclampsia cases managed during delivery,592,423
M1 [Ante Natal Care (ANC)],Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,210152,205693
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<11 (out of total tested cases)(7.1 to 10.9),128597,126307
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<7 (out of total tested cases),3109,2531
M1 [Ante Natal Care (ANC)],Number of PW having severe anaemia (Hb < 7) treated,1746,1432
M1 [Ante Natal Care (ANC)],Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),45650,36389
M1 [Ante Natal Care (ANC)],Number of PW tested positive for GDM,1295,716
M1 [Ante Natal Care (ANC)],Number of PW given insulin out of total tested positive for GDM,283,86
M1 [Ante Natal Care (ANC)],Number of PW tested using POC test for Syphilis,3112,3112
M1 [Ante Natal Care (ANC)],"Out of above,number of PW found sero positive for Syphilis",23,23
M1 [Ante Natal Care (ANC)],Number of pregnant women tested for Syphilis,96984,83522
M1 [Ante Natal Care (ANC)],Number of pregnant women tested found sero positive for Syphilis,68,56
M1 [Ante Natal Care (ANC)],Number of syphilis positive pregnanat women treated for Syphilis,25,23
M1 [Ante Natal Care (ANC)],Number of babies daignosed with Congenital Syphilis,0,0
M1 [Ante Natal Care (ANC)],Number of babies treated for Congenital Syphilis,4,4
M2 [Deliveries],Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM/ Midwife),1,1
M2 [Deliveries],Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),5,5
M2 [Deliveries],Number of PW given Tablet Misoprostol during home delivery,9,9
M2 [Deliveries],Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,2,2
M2 [Deliveries],Number of Institutional Deliveries conducted (Including C-Sections),194310,69776
M2 [Deliveries],Out of total institutional deliveries number of women discharged within 48 hours of delivery,26778,14310
M2 [Deliveries],Number of newborns received 6 HBNC  visits after Institutional Delivery,120178,120069
