module,items,urban,rural
M1 [Ante Natal Care (ANC)],Total number of pregnant women registered for ANC,706755,706193
M1 [Ante Natal Care (ANC)],"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",616491,616491
M1 [Ante Natal Care (ANC)],Number of PW given TT1/ Td1,706347,651757
M1 [Ante Natal Care (ANC)],Number of PW given TT2 / Td2,669011,631185
M1 [Ante Natal Care (ANC)],Number of PW given TT Booster/ Td Booster,70520,61009
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 180 Iron Folic Acid (IFA) tablets,731123,707627
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 360 Calcium tablets,677265,622052
M1 [Ante Natal Care (ANC)],Number of PW given one Albendazole tablet after 1st trimester,588144,555861
M1 [Ante Natal Care (ANC)],Number of PW received 4 or more ANC check ups,748583,712807
M1 [Ante Natal Care (ANC)],Number of PW given ANC Corticosteroids in Pre Term Labour,22160,11528
M1 [Ante Natal Care (ANC)],New cases of PW with hypertension detected,22682,13079
M1 [Ante Natal Care (ANC)],"Out of the new cases of PW with hypertension detected, cases managed at institution",15941,10055
M1 [Ante Natal Care (ANC)],Number of Eclampsia cases managed during delivery,2528,1472
M1 [Ante Natal Care (ANC)],Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,768253,732320
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<11 (out of total tested cases)(7.1 to 10.9),505947,488667
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<7 (out of total tested cases),13221,11551
M1 [Ante Natal Care (ANC)],Number of PW having severe anaemia (Hb < 7) treated,7995,7275
M1 [Ante Natal Care (ANC)],Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),169853,110872
M1 [Ante Natal Care (ANC)],Number of PW tested positive for GDM,7650,2067
M1 [Ante Natal Care (ANC)],Number of PW given insulin out of total tested positive for GDM,2987,337
M1 [Ante Natal Care (ANC)],Number of PW tested using POC test for Syphilis,14463,14463
M1 [Ante Natal Care (ANC)],"Out of above,number of PW found sero positive for Syphilis",170,170
M1 [Ante Natal Care (ANC)],Number of pregnant women tested for Syphilis,343207,267181
M1 [Ante Natal Care (ANC)],Number of pregnant women tested found sero positive for Syphilis,423,128
M1 [Ante Natal Care (ANC)],Number of syphilis positive pregnanat women treated for Syphilis,126,27
M1 [Ante Natal Care (ANC)],Number of babies daignosed with Congenital Syphilis,113,30
M1 [Ante Natal Care (ANC)],Number of babies treated for Congenital Syphilis,71,0
M2 [Deliveries],Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM/ Midwife),164,164
M2 [Deliveries],Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),93,93
M2 [Deliveries],Number of PW given Tablet Misoprostol during home delivery,16,16
M2 [Deliveries],Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,174,174
M2 [Deliveries],Number of Institutional Deliveries conducted (Including C-Sections),636696,244274
M2 [Deliveries],Out of total institutional deliveries number of women discharged within 48 hours of delivery,103112,52586
M2 [Deliveries],Number of newborns received 6 HBNC  visits after Institutional Delivery,468251,466988
