module,items,urban,rural
M1 [Ante Natal Care (ANC)],Total number of pregnant women registered for ANC,220323,220323
M1 [Ante Natal Care (ANC)],"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",191513,191513
M1 [Ante Natal Care (ANC)],Number of PW given TT1/ Td1,219176,201802
M1 [Ante Natal Care (ANC)],Number of PW given TT2 / Td2,206767,193578
M1 [Ante Natal Care (ANC)],Number of PW given TT Booster/ Td Booster,21775,18167
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 180 Iron Folic Acid (IFA) tablets,214542,208648
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 360 Calcium tablets,191410,179134
M1 [Ante Natal Care (ANC)],Number of PW given one Albendazole tablet after 1st trimester,173598,165567
M1 [Ante Natal Care (ANC)],Number of PW received 4 or more ANC check ups,211185,201650
M1 [Ante Natal Care (ANC)],Number of PW given ANC Corticosteroids in Pre Term Labour,5517,2932
M1 [Ante Natal Care (ANC)],New cases of PW with hypertension detected,6589,3117
M1 [Ante Natal Care (ANC)],"Out of the new cases of PW with hypertension detected, cases managed at institution",4633,2248
M1 [Ante Natal Care (ANC)],Number of Eclampsia cases managed during delivery,858,397
M1 [Ante Natal Care (ANC)],Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,216177,207666
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<11 (out of total tested cases)(7.1 to 10.9),146352,142769
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<7 (out of total tested cases),3440,3033
M1 [Ante Natal Care (ANC)],Number of PW having severe anaemia (Hb < 7) treated,1935,1716
M1 [Ante Natal Care (ANC)],Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),44242,26224
M1 [Ante Natal Care (ANC)],Number of PW tested positive for GDM,2628,418
M1 [Ante Natal Care (ANC)],Number of PW given insulin out of total tested positive for GDM,1328,81
M1 [Ante Natal Care (ANC)],Number of PW tested using POC test for Syphilis,5179,5179
M1 [Ante Natal Care (ANC)],"Out of above,number of PW found sero positive for Syphilis",66,66
M1 [Ante Natal Care (ANC)],Number of pregnant women tested for Syphilis,85549,61634
M1 [Ante Natal Care (ANC)],Number of pregnant women tested found sero positive for Syphilis,130,35
M1 [Ante Natal Care (ANC)],Number of syphilis positive pregnanat women treated for Syphilis,67,5
M1 [Ante Natal Care (ANC)],Number of babies daignosed with Congenital Syphilis,30,0
M1 [Ante Natal Care (ANC)],Number of babies treated for Congenital Syphilis,24,0
M2 [Deliveries],Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM/ Midwife),117,117
M2 [Deliveries],Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),39,39
M2 [Deliveries],Number of PW given Tablet Misoprostol during home delivery,0,0
M2 [Deliveries],Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,89,89
M2 [Deliveries],Number of Institutional Deliveries conducted (Including C-Sections),162351,62961
M2 [Deliveries],Out of total institutional deliveries number of women discharged within 48 hours of delivery,27894,13662
M2 [Deliveries],Number of newborns received 6 HBNC  visits after Institutional Delivery,120522,120517
M3 [Number of Caesarean (C-Section) deliveries],Total C -Section deliveries performed,66973,19822
M3 [Number of Caesarean (C-Section) deliveries],"C-sections, performed at night (8 PM- 8 AM)",11092,3631
M4 [Pregnancy outcome & details of new-born],Live Birth - Male,83452,32326
M4 [Pregnancy outcome & details of new-born],Live Birth - Female,78588,30371
M4 [Pregnancy outcome & details of new-born],Number of Pre term newborns (< 37 weeks of pregnancy),4263,2310
M4 [Pregnancy outcome & details of new-born],Still Birth,1216,1049
M4 [Pregnancy outcome & details of new-born],Abortion (spontaneous),2559,1911
M4 [Pregnancy outcome & details of new-born],MTP up to 12 weeks of pregnancy,1520,247
M4 [Pregnancy outcome & details of new-born],MTP more than 12 weeks of pregnancy,609,183
M4 [Pregnancy outcome & details of new-born],Post Abortion/ MTP Complications Identified,104,34
M4 [Pregnancy outcome & details of new-born],Post Abortion/ MTP Complications Treated,101,33
M4 [Pregnancy outcome & details of new-born],Number of women provided with post abortion/ MTP contraception,305,32
M4 [Pregnancy outcome & details of new-born],Number of newborns weighed at birth,158176,61579
M4 [Pregnancy outcome & details of new-born],Number of newborns having weight less than 2.5 kg,9530,5914
M4 [Pregnancy outcome & details of new-born],Number of Newborns breast fed within 1 hour of birth ,158309,61335
M5 [Complicated Pregnancies],"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",5752,5131
M5 [Complicated Pregnancies],Number of Complicated pregnancies treated with Blood Transfusion,3941,3264
M6 [Post Natal Care (PNC)],Women receiving 1st post partum checkups within 48 hours of home delivery,326,326
M6 [Post Natal Care (PNC)],Women receiving 1st post partum checkup between 48 hours and 14 days,140057,130640
M6 [Post Natal Care (PNC)],Number of mothers provided full course of 180 IFA tablets after delivery,156323,131464
M6 [Post Natal Care (PNC)],Number of mothers provided full course of 360 Calcium tablets after delivery,133833,109804
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],New RTI/STI cases identified - Male,11808,11521
