module,items,urban,rural
M1 [Ante Natal Care (ANC)],Total number of pregnant women registered for ANC,694738,694738
M1 [Ante Natal Care (ANC)],"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",617039,617039
M1 [Ante Natal Care (ANC)],Number of PW given TT1/ Td1,667009,634142
M1 [Ante Natal Care (ANC)],Number of PW given TT2 / Td2,653070,625244
M1 [Ante Natal Care (ANC)],Number of PW given TT Booster/ Td Booster,70804,65536
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 180 Iron Folic Acid (IFA) tablets,726473,705965
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 360 Calcium tablets,665160,644673
M1 [Ante Natal Care (ANC)],Number of PW given one Albendazole tablet after 1st trimester,585338,575574
M1 [Ante Natal Care (ANC)],Number of PW received 4 or more ANC check ups,702921,685375
M1 [Ante Natal Care (ANC)],Number of PW given ANC Corticosteroids in Pre Term Labour,16424,12618
M1 [Ante Natal Care (ANC)],New cases of PW with hypertension detected,19780,14500
M1 [Ante Natal Care (ANC)],"Out of the new cases of PW with hypertension detected, cases managed at institution",12207,9588
M1 [Ante Natal Care (ANC)],Number of Eclampsia cases managed during delivery,1893,1416
M1 [Ante Natal Care (ANC)],Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,770425,749834
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<11 (out of total tested cases)(7.1 to 10.9),449624,437842
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<7 (out of total tested cases),13531,11033
M1 [Ante Natal Care (ANC)],Number of PW having severe anaemia (Hb < 7) treated,7617,6497
M1 [Ante Natal Care (ANC)],Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),142194,115872
M1 [Ante Natal Care (ANC)],Number of PW tested positive for GDM,4729,2847
M1 [Ante Natal Care (ANC)],Number of PW given insulin out of total tested positive for GDM,1060,440
M1 [Ante Natal Care (ANC)],Number of PW tested using POC test for Syphilis,9851,9851
M1 [Ante Natal Care (ANC)],"Out of above,number of PW found sero positive for Syphilis",88,88
M1 [Ante Natal Care (ANC)],Number of pregnant women tested for Syphilis,296039,253751
M1 [Ante Natal Care (ANC)],Number of pregnant women tested found sero positive for Syphilis,258,171
M1 [Ante Natal Care (ANC)],Number of syphilis positive pregnanat women treated for Syphilis,75,63
M1 [Ante Natal Care (ANC)],Number of babies daignosed with Congenital Syphilis,96,4
M1 [Ante Natal Care (ANC)],Number of babies treated for Congenital Syphilis,22,6
M2 [Deliveries],Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM/ Midwife),57,57
M2 [Deliveries],Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),52,52
M2 [Deliveries],Number of PW given Tablet Misoprostol during home delivery,20,20
M2 [Deliveries],Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,85,85
M2 [Deliveries],Number of Institutional Deliveries conducted (Including C-Sections),653560,240574
M2 [Deliveries],Out of total institutional deliveries number of women discharged within 48 hours of delivery,82296,45488
M2 [Deliveries],Number of newborns received 6 HBNC  visits after Institutional Delivery,456890,456079
M3 [Number of Caesarean (C-Section) deliveries],Total C -Section deliveries performed,308247,86687
M3 [Number of Caesarean (C-Section) deliveries],"C-sections, performed at night (8 PM- 8 AM)",42024,17623
M4 [Pregnancy outcome & details of new-born],Live Birth - Male,336184,123344
M4 [Pregnancy outcome & details of new-born],Live Birth - Female,317556,116303
M4 [Pregnancy outcome & details of new-born],Number of Pre term newborns (< 37 weeks of pregnancy),17109,11469
M4 [Pregnancy outcome & details of new-born],Still Birth,3208,2541
M4 [Pregnancy outcome & details of new-born],Abortion (spontaneous),8266,7014
M4 [Pregnancy outcome & details of new-born],MTP up to 12 weeks of pregnancy,4948,1317
M4 [Pregnancy outcome & details of new-born],MTP more than 12 weeks of pregnancy,1859,787
M4 [Pregnancy outcome & details of new-born],Post Abortion/ MTP Complications Identified,173,63
M4 [Pregnancy outcome & details of new-born],Post Abortion/ MTP Complications Treated,79,49
M4 [Pregnancy outcome & details of new-born],Number of women provided with post abortion/ MTP contraception,252,32
M4 [Pregnancy outcome & details of new-born],Number of newborns weighed at birth,630185,236772
M4 [Pregnancy outcome & details of new-born],Number of newborns having weight less than 2.5 kg,35073,23177
M4 [Pregnancy outcome & details of new-born],Number of Newborns breast fed within 1 hour of birth ,624001,235423
M5 [Complicated Pregnancies],"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",32568,30836
M5 [Complicated Pregnancies],Number of Complicated pregnancies treated with Blood Transfusion,16386,15453
M6 [Post Natal Care (PNC)],Women receiving 1st post partum checkups within 48 hours of home delivery,113,113
M6 [Post Natal Care (PNC)],Women receiving 1st post partum checkup between 48 hours and 14 days,515809,492154
M6 [Post Natal Care (PNC)],Number of mothers provided full course of 180 IFA tablets after delivery,550645,486115
