module,items,urban,rural
M1 [Ante Natal Care (ANC)],Total number of pregnant women registered for ANC,66352,66352
M1 [Ante Natal Care (ANC)],"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",57934,57934
M1 [Ante Natal Care (ANC)],Number of PW given TT1/ Td1,51821,51743
M1 [Ante Natal Care (ANC)],Number of PW given TT2 / Td2,53633,48747
M1 [Ante Natal Care (ANC)],Number of PW given TT Booster/ Td Booster,4432,4111
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 180 Iron Folic Acid (IFA) tablets,65288,64299
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 360 Calcium tablets,51336,50875
M1 [Ante Natal Care (ANC)],Number of PW given one Albendazole tablet after 1st trimester,33063,32558
M1 [Ante Natal Care (ANC)],Number of PW received 4 or more ANC check ups,65047,62268
M1 [Ante Natal Care (ANC)],Number of PW given ANC Corticosteroids in Pre Term Labour,1320,1320
M1 [Ante Natal Care (ANC)],New cases of PW with hypertension detected,1102,1102
M1 [Ante Natal Care (ANC)],"Out of the new cases of PW with hypertension detected, cases managed at institution",746,746
M1 [Ante Natal Care (ANC)],Number of Eclampsia cases managed during delivery,122,122
M1 [Ante Natal Care (ANC)],Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,54452,53674
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<11 (out of total tested cases)(7.1 to 10.9),41779,41779
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<7 (out of total tested cases),786,786
M1 [Ante Natal Care (ANC)],Number of PW having severe anaemia (Hb < 7) treated,498,498
M1 [Ante Natal Care (ANC)],Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),857,857
M1 [Ante Natal Care (ANC)],Number of PW tested positive for GDM,74,74
M1 [Ante Natal Care (ANC)],Number of PW given insulin out of total tested positive for GDM,59,59
M1 [Ante Natal Care (ANC)],Number of PW tested using POC test for Syphilis,703,703
M1 [Ante Natal Care (ANC)],"Out of above,number of PW found sero positive for Syphilis",14,14
M1 [Ante Natal Care (ANC)],Number of pregnant women tested for Syphilis,9714,9354
M1 [Ante Natal Care (ANC)],Number of pregnant women tested found sero positive for Syphilis,7,7
M1 [Ante Natal Care (ANC)],Number of syphilis positive pregnanat women treated for Syphilis,18,18
M1 [Ante Natal Care (ANC)],Number of babies daignosed with Congenital Syphilis,6,6
M1 [Ante Natal Care (ANC)],Number of babies treated for Congenital Syphilis,15,15
M2 [Deliveries],Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM/ Midwife),163,163
M2 [Deliveries],Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),83,83
M2 [Deliveries],Number of PW given Tablet Misoprostol during home delivery,8,8
M2 [Deliveries],Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,291,291
M2 [Deliveries],Number of Institutional Deliveries conducted (Including C-Sections),50166,23354
M2 [Deliveries],Out of total institutional deliveries number of women discharged within 48 hours of delivery,5816,4674
M2 [Deliveries],Number of newborns received 6 HBNC  visits after Institutional Delivery,28875,26713
M3 [Number of Caesarean (C-Section) deliveries],Total C -Section deliveries performed,20923,7391
M3 [Number of Caesarean (C-Section) deliveries],"C-sections, performed at night (8 PM- 8 AM)",3064,1297
M4 [Pregnancy outcome & details of new-born],Live Birth - Male,25943,11969
M4 [Pregnancy outcome & details of new-born],Live Birth - Female,24189,11373
M4 [Pregnancy outcome & details of new-born],Number of Pre term newborns (< 37 weeks of pregnancy),992,933
M4 [Pregnancy outcome & details of new-born],Still Birth,503,342
M4 [Pregnancy outcome & details of new-born],Abortion (spontaneous),640,620
M4 [Pregnancy outcome & details of new-born],MTP up to 12 weeks of pregnancy,104,88
M4 [Pregnancy outcome & details of new-born],MTP more than 12 weeks of pregnancy,43,42
M4 [Pregnancy outcome & details of new-born],Post Abortion/ MTP Complications Identified,3,3
M4 [Pregnancy outcome & details of new-born],Post Abortion/ MTP Complications Treated,3,3
M4 [Pregnancy outcome & details of new-born],Number of women provided with post abortion/ MTP contraception,9,9
M4 [Pregnancy outcome & details of new-born],Number of newborns weighed at birth,49561,22953
M4 [Pregnancy outcome & details of new-born],Number of newborns having weight less than 2.5 kg,2236,2012
M4 [Pregnancy outcome & details of new-born],Number of Newborns breast fed within 1 hour of birth ,48751,22792
M5 [Complicated Pregnancies],"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",2711,2711
M5 [Complicated Pregnancies],Number of Complicated pregnancies treated with Blood Transfusion,1252,1252
M6 [Post Natal Care (PNC)],Women receiving 1st post partum checkups within 48 hours of home delivery,568,568
M6 [Post Natal Care (PNC)],Women receiving 1st post partum checkup between 48 hours and 14 days,38071,34266
M6 [Post Natal Care (PNC)],Number of mothers provided full course of 180 IFA tablets after delivery,30171,30171
M6 [Post Natal Care (PNC)],Number of mothers provided full course of 360 Calcium tablets after delivery,24363,24363
