module,items,urban,rural
M1 [Ante Natal Care (ANC)],Total number of pregnant women registered for ANC,556869,556869
M1 [Ante Natal Care (ANC)],"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",492807,492807
M1 [Ante Natal Care (ANC)],Number of PW given TT1/ Td1,535269,509710
M1 [Ante Natal Care (ANC)],Number of PW given TT2 / Td2,520117,498306
M1 [Ante Natal Care (ANC)],Number of PW given TT Booster/ Td Booster,55830,51806
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 180 Iron Folic Acid (IFA) tablets,581138,564971
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 360 Calcium tablets,528352,512130
M1 [Ante Natal Care (ANC)],Number of PW given one Albendazole tablet after 1st trimester,467198,459237
M1 [Ante Natal Care (ANC)],Number of PW received 4 or more ANC check ups,565126,550265
M1 [Ante Natal Care (ANC)],Number of PW given ANC Corticosteroids in Pre Term Labour,13235,10092
M1 [Ante Natal Care (ANC)],New cases of PW with hypertension detected,16051,11461
M1 [Ante Natal Care (ANC)],"Out of the new cases of PW with hypertension detected, cases managed at institution",9588,7323
M1 [Ante Natal Care (ANC)],Number of Eclampsia cases managed during delivery,1550,1130
M1 [Ante Natal Care (ANC)],Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,612713,596717
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<11 (out of total tested cases)(7.1 to 10.9),353207,345371
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<7 (out of total tested cases),9826,7920
M1 [Ante Natal Care (ANC)],Number of PW having severe anaemia (Hb < 7) treated,5473,4645
M1 [Ante Natal Care (ANC)],Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),114089,92893
M1 [Ante Natal Care (ANC)],Number of PW tested positive for GDM,3827,2502
M1 [Ante Natal Care (ANC)],Number of PW given insulin out of total tested positive for GDM,780,321
M1 [Ante Natal Care (ANC)],Number of PW tested using POC test for Syphilis,7629,7629
