module,items,urban,rural
M1 [Ante Natal Care (ANC)],Total number of pregnant women registered for ANC,789187,789187
M1 [Ante Natal Care (ANC)],"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",674236,674236
M1 [Ante Natal Care (ANC)],Number of PW given TT1/ Td1,687464,686968
M1 [Ante Natal Care (ANC)],Number of PW given TT2 / Td2,726653,699040
M1 [Ante Natal Care (ANC)],Number of PW given TT Booster/ Td Booster,71364,67808
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 180 Iron Folic Acid (IFA) tablets,831811,821474
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 360 Calcium tablets,675791,671415
M1 [Ante Natal Care (ANC)],Number of PW given one Albendazole tablet after 1st trimester,425344,424631
M1 [Ante Natal Care (ANC)],Number of PW received 4 or more ANC check ups,842624,822363
M1 [Ante Natal Care (ANC)],Number of PW given ANC Corticosteroids in Pre Term Labour,15672,15672
M1 [Ante Natal Care (ANC)],New cases of PW with hypertension detected,14836,14833
M1 [Ante Natal Care (ANC)],"Out of the new cases of PW with hypertension detected, cases managed at institution",11776,11776
M1 [Ante Natal Care (ANC)],Number of Eclampsia cases managed during delivery,1892,1892
M1 [Ante Natal Care (ANC)],Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,764931,758722
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<11 (out of total tested cases)(7.1 to 10.9),605622,605424
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<7 (out of total tested cases),16040,16040
M1 [Ante Natal Care (ANC)],Number of PW having severe anaemia (Hb < 7) treated,11608,11608
M1 [Ante Natal Care (ANC)],Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),21087,20928
M1 [Ante Natal Care (ANC)],Number of PW tested positive for GDM,1742,1659
M1 [Ante Natal Care (ANC)],Number of PW given insulin out of total tested positive for GDM,753,753
M1 [Ante Natal Care (ANC)],Number of PW tested using POC test for Syphilis,6466,6466
M1 [Ante Natal Care (ANC)],"Out of above,number of PW found sero positive for Syphilis",187,187
M1 [Ante Natal Care (ANC)],Number of pregnant women tested for Syphilis,206056,202795
M1 [Ante Natal Care (ANC)],Number of pregnant women tested found sero positive for Syphilis,751,751
M1 [Ante Natal Care (ANC)],Number of syphilis positive pregnanat women treated for Syphilis,89,89
M1 [Ante Natal Care (ANC)],Number of babies daignosed with Congenital Syphilis,67,67
M1 [Ante Natal Care (ANC)],Number of babies treated for Congenital Syphilis,72,72
M2 [Deliveries],Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM/ Midwife),1482,1482
M2 [Deliveries],Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),883,883
M2 [Deliveries],Number of PW given Tablet Misoprostol during home delivery,78,78
M2 [Deliveries],Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,2056,2056
M2 [Deliveries],Number of Institutional Deliveries conducted (Including C-Sections),653038,284016
M2 [Deliveries],Out of total institutional deliveries number of women discharged within 48 hours of delivery,84423,60680
M2 [Deliveries],Number of newborns received 6 HBNC  visits after Institutional Delivery,441978,415656
M3 [Number of Caesarean (C-Section) deliveries],Total C -Section deliveries performed,273717,93776
M3 [Number of Caesarean (C-Section) deliveries],"C-sections, performed at night (8 PM- 8 AM)",38514,17970
M4 [Pregnancy outcome & details of new-born],Live Birth - Male,334986,146540
M4 [Pregnancy outcome & details of new-born],Live Birth - Female,319011,138648
M4 [Pregnancy outcome & details of new-born],Number of Pre term newborns (< 37 weeks of pregnancy),10422,10015
M4 [Pregnancy outcome & details of new-born],Still Birth,6057,3946
M4 [Pregnancy outcome & details of new-born],Abortion (spontaneous),10215,9279
M4 [Pregnancy outcome & details of new-born],MTP up to 12 weeks of pregnancy,1620,1184
M4 [Pregnancy outcome & details of new-born],MTP more than 12 weeks of pregnancy,662,596
M4 [Pregnancy outcome & details of new-born],Post Abortion/ MTP Complications Identified,62,62
M4 [Pregnancy outcome & details of new-born],Post Abortion/ MTP Complications Treated,60,60
M4 [Pregnancy outcome & details of new-born],Number of women provided with post abortion/ MTP contraception,154,154
M4 [Pregnancy outcome & details of new-born],Number of newborns weighed at birth,644077,280943
