module,items,urban,rural
M1 [Ante Natal Care (ANC)],Total number of pregnant women registered for ANC,146681,146681
M1 [Ante Natal Care (ANC)],"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",129972,129972
M1 [Ante Natal Care (ANC)],Number of PW given TT1/ Td1,141901,134855
M1 [Ante Natal Care (ANC)],Number of PW given TT2 / Td2,133561,128119
M1 [Ante Natal Care (ANC)],Number of PW given TT Booster/ Td Booster,13594,12659
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 180 Iron Folic Acid (IFA) tablets,146119,142111
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 360 Calcium tablets,129683,125664
M1 [Ante Natal Care (ANC)],Number of PW given one Albendazole tablet after 1st trimester,119162,116501
M1 [Ante Natal Care (ANC)],Number of PW received 4 or more ANC check ups,137653,134429
M1 [Ante Natal Care (ANC)],Number of PW given ANC Corticosteroids in Pre Term Labour,3133,2549
M1 [Ante Natal Care (ANC)],New cases of PW with hypertension detected,4649,3319
M1 [Ante Natal Care (ANC)],"Out of the new cases of PW with hypertension detected, cases managed at institution",2394,1756
M1 [Ante Natal Care (ANC)],Number of Eclampsia cases managed during delivery,408,275
M1 [Ante Natal Care (ANC)],Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,137218,134523
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<11 (out of total tested cases)(7.1 to 10.9),85800,84264
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<7 (out of total tested cases),2166,1776
M1 [Ante Natal Care (ANC)],Number of PW having severe anaemia (Hb < 7) treated,1206,992
M1 [Ante Natal Care (ANC)],Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),30624,24111
M1 [Ante Natal Care (ANC)],Number of PW tested positive for GDM,729,312
M1 [Ante Natal Care (ANC)],Number of PW given insulin out of total tested positive for GDM,178,33
M1 [Ante Natal Care (ANC)],Number of PW tested using POC test for Syphilis,2109,2109
M1 [Ante Natal Care (ANC)],"Out of above,number of PW found sero positive for Syphilis",16,16
M1 [Ante Natal Care (ANC)],Number of pregnant women tested for Syphilis,65680,56127
M1 [Ante Natal Care (ANC)],Number of pregnant women tested found sero positive for Syphilis,55,45
M1 [Ante Natal Care (ANC)],Number of syphilis positive pregnanat women treated for Syphilis,14,13
M1 [Ante Natal Care (ANC)],Number of babies daignosed with Congenital Syphilis,0,0
M1 [Ante Natal Care (ANC)],Number of babies treated for Congenital Syphilis,3,3
M2 [Deliveries],Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM/ Midwife),1,1
M2 [Deliveries],Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),1,1
M2 [Deliveries],Number of PW given Tablet Misoprostol during home delivery,9,9
M2 [Deliveries],Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,1,1
M2 [Deliveries],Number of Institutional Deliveries conducted (Including C-Sections),126077,45910
M2 [Deliveries],Out of total institutional deliveries number of women discharged within 48 hours of delivery,17991,9478
M2 [Deliveries],Number of newborns received 6 HBNC  visits after Institutional Delivery,77825,77779
M3 [Number of Caesarean (C-Section) deliveries],Total C -Section deliveries performed,58095,16157
M3 [Number of Caesarean (C-Section) deliveries],"C-sections, performed at night (8 PM- 8 AM)",7869,3277
M4 [Pregnancy outcome & details of new-born],Live Birth - Male,64659,23358
M4 [Pregnancy outcome & details of new-born],Live Birth - Female,61252,22255
M4 [Pregnancy outcome & details of new-born],Number of Pre term newborns (< 37 weeks of pregnancy),3032,1677
M4 [Pregnancy outcome & details of new-born],Still Birth,671,572
M4 [Pregnancy outcome & details of new-born],Abortion (spontaneous),1523,1246
M4 [Pregnancy outcome & details of new-born],MTP up to 12 weeks of pregnancy,990,265
M4 [Pregnancy outcome & details of new-born],MTP more than 12 weeks of pregnancy,407,198
M4 [Pregnancy outcome & details of new-born],Post Abortion/ MTP Complications Identified,32,23
M4 [Pregnancy outcome & details of new-born],Post Abortion/ MTP Complications Treated,16,15
M4 [Pregnancy outcome & details of new-born],Number of women provided with post abortion/ MTP contraception,41,7
M4 [Pregnancy outcome & details of new-born],Number of newborns weighed at birth,123520,45403
M4 [Pregnancy outcome & details of new-born],Number of newborns having weight less than 2.5 kg,6472,4426
M4 [Pregnancy outcome & details of new-born],Number of Newborns breast fed within 1 hour of birth ,122469,45047
M5 [Complicated Pregnancies],"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",8326,7999
M5 [Complicated Pregnancies],Number of Complicated pregnancies treated with Blood Transfusion,3018,2746
M6 [Post Natal Care (PNC)],Women receiving 1st post partum checkups within 48 hours of home delivery,3,3
M6 [Post Natal Care (PNC)],Women receiving 1st post partum checkup between 48 hours and 14 days,93113,87487
M6 [Post Natal Care (PNC)],Number of mothers provided full course of 180 IFA tablets after delivery,98880,84422
M6 [Post Natal Care (PNC)],Number of mothers provided full course of 360 Calcium tablets after delivery,84927,70649
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],New RTI/STI cases identified - Male,11815,11634
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],New RTI/STI cases identified - Female,21563,20916
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],RTI/STI for which treatment initiated - Male,10606,10467
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],RTI/STI for which treatment initiated -Female,19653,19101
M8 [Family Planning],Number of Non Scalpel Vasectomy (NSV) / Conventional Vasectomy conducted,199,167
M8 [Family Planning],Number of Laparoscopic sterilizations (excluding post abortion) conducted,1954,627
M8 [Family Planning],Number of Interval Mini-lap (other than post-partum and post abortion) sterilizations conducted,8001,5908
M8 [Family Planning],Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted,10126,6807
M8 [Family Planning],Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted,462,313
M8 [Family Planning],Number of Interval IUCD Insertions (excluding PPIUCD and PAIUCD),7269,6647
M8 [Family Planning],Number of Postpartum (within 48 hours of delivery) IUCD insertions,1784,1667
M8 [Family Planning],Number of Post Abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions,91,65
M8 [Family Planning],Number of IUCD Removals,1285,979
M8 [Family Planning],Number of complications following IUCD Insertion,51,46
M8 [Family Planning],Injectable Contraceptive-Antara Program- First Dose,81,72
M8 [Family Planning],Injectable Contraceptive-Antara Program- Second Dose,18,16
M8 [Family Planning],Injectable Contraceptive-Antara Program- Third Dose,4,4
M8 [Family Planning],Injectable Contraceptive-Antara Program- Fourth or more than fourth,2,2
M8 [Family Planning],Number of Combined Oral Pill cycles distributed,554445,553932
M8 [Family Planning],Number of Condom pieces distributed,4860775,4858665
M8 [Family Planning],Number of Centchroman (weekly) pill strips distributed,30133,30119
M8 [Family Planning],Number of Emergency Contraceptive Pills (ECP) given,2850,2825
M8 [Family Planning],Number of Pregnancy Test Kits (PTK) used,141656,133819
M8 [Family Planning],Complications following male sterilization,8,8
M8 [Family Planning],Complications following female sterilization,8,8
M8 [Family Planning],Failures following male sterilization,0,0
M8 [Family Planning],Failures following female sterilization,0,0
M8 [Family Planning],Deaths following male sterilization,0,0
M8 [Family Planning],Deaths following female sterilization,0,0
M9 [CHILD IMMUNISATION],Child immunisation - Vitamin K (Birth Dose),117851,47019
M9 [CHILD IMMUNISATION],Child immunisation - BCG,134847,76798
M9 [CHILD IMMUNISATION],Child immunisation - DPT1,276,130
M9 [CHILD IMMUNISATION],Child immunisation - DPT2,194,114
M9 [CHILD IMMUNISATION],Child immunisation - DPT3,177,113
M9 [CHILD IMMUNISATION],Child immunisation - Pentavalent 1,127249,125597
M9 [CHILD IMMUNISATION],Child immunisation - Pentavalent 2,122698,121347
M9 [CHILD IMMUNISATION],Child immunisation - Pentavalent 3,134436,133092
M9 [CHILD IMMUNISATION],Child immunisation - OPV 0 (Birth Dose),125713,59988
M9 [CHILD IMMUNISATION],Child immunisation - OPV1,127248,125429
M9 [CHILD IMMUNISATION],Child immunisation - OPV2,122452,121057
M9 [CHILD IMMUNISATION],Child immunisation - OPV3,134510,133264
M9 [CHILD IMMUNISATION],Child immunisation - Hepatitis-B0 (Birth Dose),118756,49689
M9 [CHILD IMMUNISATION],Child immunisation - Hepatitis-B1,1424,1290
M9 [CHILD IMMUNISATION],Child immunisation - Hepatitis-B2,1291,1199
M9 [CHILD IMMUNISATION],Child immunisation - Hepatitis-B3,1383,1314
M9 [CHILD IMMUNISATION],Child immunisation - Inactivated Injectable Polio Vaccine 1 (IPV 1),126470,124944
M9 [CHILD IMMUNISATION],Child immunisation - Inactivated Injectable Polio Vaccine 2 (IPV 2),133507,132449
M9 [CHILD IMMUNISATION],Child immunisation - Rotavirus 1,127249,125706
M9 [CHILD IMMUNISATION],Child immunisation - Rotavirus 2,122661,121374
