module,items,urban,rural
M1 [Ante Natal Care (ANC)],Total number of pregnant women registered for ANC,722079,722079
M1 [Ante Natal Care (ANC)],"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",617539,617539
M1 [Ante Natal Care (ANC)],Number of PW given TT1/ Td1,625402,624907
M1 [Ante Natal Care (ANC)],Number of PW given TT2 / Td2,662544,635162
M1 [Ante Natal Care (ANC)],Number of PW given TT Booster/ Td Booster,65704,62537
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 180 Iron Folic Acid (IFA) tablets,763170,753017
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 360 Calcium tablets,619291,615219
M1 [Ante Natal Care (ANC)],Number of PW given one Albendazole tablet after 1st trimester,385355,384694
M1 [Ante Natal Care (ANC)],Number of PW received 4 or more ANC check ups,778259,758534
M1 [Ante Natal Care (ANC)],Number of PW given ANC Corticosteroids in Pre Term Labour,14379,14379
M1 [Ante Natal Care (ANC)],New cases of PW with hypertension detected,13728,13725
M1 [Ante Natal Care (ANC)],"Out of the new cases of PW with hypertension detected, cases managed at institution",10822,10822
M1 [Ante Natal Care (ANC)],Number of Eclampsia cases managed during delivery,1775,1775
M1 [Ante Natal Care (ANC)],Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,692988,686868
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<11 (out of total tested cases)(7.1 to 10.9),540721,540595
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<7 (out of total tested cases),14037,14037
M1 [Ante Natal Care (ANC)],Number of PW having severe anaemia (Hb < 7) treated,10252,10252
M1 [Ante Natal Care (ANC)],Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),18365,18206
M1 [Ante Natal Care (ANC)],Number of PW tested positive for GDM,1556,1473
M1 [Ante Natal Care (ANC)],Number of PW given insulin out of total tested positive for GDM,703,703
M1 [Ante Natal Care (ANC)],Number of PW tested using POC test for Syphilis,5871,5871
M1 [Ante Natal Care (ANC)],"Out of above,number of PW found sero positive for Syphilis",164,164
M1 [Ante Natal Care (ANC)],Number of pregnant women tested for Syphilis,184037,180776
M1 [Ante Natal Care (ANC)],Number of pregnant women tested found sero positive for Syphilis,738,738
M1 [Ante Natal Care (ANC)],Number of syphilis positive pregnanat women treated for Syphilis,85,85
M1 [Ante Natal Care (ANC)],Number of babies daignosed with Congenital Syphilis,63,63
M1 [Ante Natal Care (ANC)],Number of babies treated for Congenital Syphilis,69,69
M2 [Deliveries],Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM/ Midwife),1393,1393
M2 [Deliveries],Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),817,817
M2 [Deliveries],Number of PW given Tablet Misoprostol during home delivery,64,64
M2 [Deliveries],Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,1934,1934
M2 [Deliveries],Number of Institutional Deliveries conducted (Including C-Sections),608115,265476
M2 [Deliveries],Out of total institutional deliveries number of women discharged within 48 hours of delivery,78192,56244
M2 [Deliveries],Number of newborns received 6 HBNC  visits after Institutional Delivery,408608,384267
M3 [Number of Caesarean (C-Section) deliveries],Total C -Section deliveries performed,257665,87665
M3 [Number of Caesarean (C-Section) deliveries],"C-sections, performed at night (8 PM- 8 AM)",35624,16731
M4 [Pregnancy outcome & details of new-born],Live Birth - Male,312044,136841
M4 [Pregnancy outcome & details of new-born],Live Birth - Female,296830,129614
M4 [Pregnancy outcome & details of new-born],Number of Pre term newborns (< 37 weeks of pregnancy),9578,9171
M4 [Pregnancy outcome & details of new-born],Still Birth,5663,3692
M4 [Pregnancy outcome & details of new-born],Abortion (spontaneous),9179,8337
M4 [Pregnancy outcome & details of new-born],MTP up to 12 weeks of pregnancy,1398,1000
M4 [Pregnancy outcome & details of new-born],MTP more than 12 weeks of pregnancy,590,531
M4 [Pregnancy outcome & details of new-born],Post Abortion/ MTP Complications Identified,53,53
M4 [Pregnancy outcome & details of new-born],Post Abortion/ MTP Complications Treated,53,53
M4 [Pregnancy outcome & details of new-born],Number of women provided with post abortion/ MTP contraception,116,116
M4 [Pregnancy outcome & details of new-born],Number of newborns weighed at birth,600469,262806
M4 [Pregnancy outcome & details of new-born],Number of newborns having weight less than 2.5 kg,25639,23270
M4 [Pregnancy outcome & details of new-born],Number of Newborns breast fed within 1 hour of birth ,595329,260323
M5 [Complicated Pregnancies],"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",28941,28941
M5 [Complicated Pregnancies],Number of Complicated pregnancies treated with Blood Transfusion,15139,15138
M6 [Post Natal Care (PNC)],Women receiving 1st post partum checkups within 48 hours of home delivery,5900,5900
M6 [Post Natal Care (PNC)],Women receiving 1st post partum checkup between 48 hours and 14 days,510146,467392
M6 [Post Natal Care (PNC)],Number of mothers provided full course of 180 IFA tablets after delivery,429011,414051
M6 [Post Natal Care (PNC)],Number of mothers provided full course of 360 Calcium tablets after delivery,352622,337662
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],New RTI/STI cases identified - Male,38004,37821
