module,items,urban,rural
M1 [Ante Natal Care (ANC)],Total number of pregnant women registered for ANC,782663,782101
M1 [Ante Natal Care (ANC)],"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",683544,683544
M1 [Ante Natal Care (ANC)],Number of PW given TT1/ Td1,782948,723426
M1 [Ante Natal Care (ANC)],Number of PW given TT2 / Td2,739263,697541
M1 [Ante Natal Care (ANC)],Number of PW given TT Booster/ Td Booster,79336,69226
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 180 Iron Folic Acid (IFA) tablets,808342,781205
M1 [Ante Natal Care (ANC)],Number of PW provided full Course 360 Calcium tablets,744546,685833
M1 [Ante Natal Care (ANC)],Number of PW given one Albendazole tablet after 1st trimester,649252,614579
M1 [Ante Natal Care (ANC)],Number of PW received 4 or more ANC check ups,819905,779621
M1 [Ante Natal Care (ANC)],Number of PW given ANC Corticosteroids in Pre Term Labour,23596,12576
M1 [Ante Natal Care (ANC)],New cases of PW with hypertension detected,25516,14710
M1 [Ante Natal Care (ANC)],"Out of the new cases of PW with hypertension detected, cases managed at institution",17157,11035
M1 [Ante Natal Care (ANC)],Number of Eclampsia cases managed during delivery,2698,1581
M1 [Ante Natal Care (ANC)],Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,852421,812877
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<11 (out of total tested cases)(7.1 to 10.9),561398,542240
M1 [Ante Natal Care (ANC)],Number of PW having Hb level<7 (out of total tested cases),14617,12786
M1 [Ante Natal Care (ANC)],Number of PW having severe anaemia (Hb < 7) treated,8689,7906
M1 [Ante Natal Care (ANC)],Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),186717,124046
M1 [Ante Natal Care (ANC)],Number of PW tested positive for GDM,8273,2421
M1 [Ante Natal Care (ANC)],Number of PW given insulin out of total tested positive for GDM,3115,365
M1 [Ante Natal Care (ANC)],Number of PW tested using POC test for Syphilis,15844,15844
M1 [Ante Natal Care (ANC)],"Out of above,number of PW found sero positive for Syphilis",174,174
M1 [Ante Natal Care (ANC)],Number of pregnant women tested for Syphilis,376594,293920
M1 [Ante Natal Care (ANC)],Number of pregnant women tested found sero positive for Syphilis,449,146
M1 [Ante Natal Care (ANC)],Number of syphilis positive pregnanat women treated for Syphilis,137,31
M1 [Ante Natal Care (ANC)],Number of babies daignosed with Congenital Syphilis,118,30
M1 [Ante Natal Care (ANC)],Number of babies treated for Congenital Syphilis,72,0
M2 [Deliveries],Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM/ Midwife),164,164
M2 [Deliveries],Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),94,94
M2 [Deliveries],Number of PW given Tablet Misoprostol during home delivery,16,16
M2 [Deliveries],Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,175,175
M2 [Deliveries],Number of Institutional Deliveries conducted (Including C-Sections),691005,264449
M2 [Deliveries],Out of total institutional deliveries number of women discharged within 48 hours of delivery,111781,56729
M2 [Deliveries],Number of newborns received 6 HBNC  visits after Institutional Delivery,506349,505069
M3 [Number of Caesarean (C-Section) deliveries],Total C -Section deliveries performed,295194,87977
M3 [Number of Caesarean (C-Section) deliveries],"C-sections, performed at night (8 PM- 8 AM)",45866,15778
M4 [Pregnancy outcome & details of new-born],Live Birth - Male,354584,135470
M4 [Pregnancy outcome & details of new-born],Live Birth - Female,337354,128035
M4 [Pregnancy outcome & details of new-born],Number of Pre term newborns (< 37 weeks of pregnancy),18440,10392
M4 [Pregnancy outcome & details of new-born],Still Birth,4688,3637
M4 [Pregnancy outcome & details of new-born],Abortion (spontaneous),9563,7445
