module,items,urban,rural
M1 [Ante Natal Care (ANC)],Total number of pregnant women registered for ANC,578921,578921
nan,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",496246,496246
nan,Number of PW given TT1/ Td1,497659,497164
nan,Number of PW given TT2 / Td2,537481,511189
nan,Number of PW given TT Booster/ Td Booster,52816,50453
nan,Number of PW provided full Course 180 Iron Folic Acid (IFA) tablets,621107,611522
nan,Number of PW provided full Course 360 Calcium tablets,501362,497759
nan,Number of PW given one Albendazole tablet after 1st trimester,303619,302958
nan,Number of PW received 4 or more ANC check ups,640554,622475
nan,Number of PW given ANC Corticosteroids in Pre Term Labour,11574,11574
nan,New cases of PW with hypertension detected,10955,10952
nan,"Out of the new cases of PW with hypertension detected, cases managed at institution",8492,8492
nan,Number of Eclampsia cases managed during delivery,1554,1554
nan,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,550148,544435
nan,Number of PW having Hb level<11 (out of total tested cases)(7.1 to 10.9),423949,423838
nan,Number of PW having Hb level<7 (out of total tested cases),10977,10977
nan,Number of PW having severe anaemia (Hb < 7) treated,8049,8049
nan,Number of PW tested for Blood Sugar using OGTT(Oral Glucose Tolerance Test),15027,14868
nan,Number of PW tested positive for GDM,1225,1142
nan,Number of PW given insulin out of total tested positive for GDM,617,617
nan,Number of PW tested using POC test for Syphilis,4687,4687
nan,"Out of above,number of PW found sero positive for Syphilis",130,130
nan,Number of pregnant women tested for Syphilis,138448,135511
nan,Number of pregnant women tested found sero positive for Syphilis,640,640
nan,Number of syphilis positive pregnanat women treated for Syphilis,71,71
nan,Number of babies daignosed with Congenital Syphilis,56,56
nan,Number of babies treated for Congenital Syphilis,65,65
M2 [Deliveries],Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM/ Midwife),1173,1173
nan,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),702,702
nan,Number of PW given Tablet Misoprostol during home delivery,54,54
nan,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,1652,1652
nan,Number of Institutional Deliveries conducted (Including C-Sections),507487,222014
nan,Out of total institutional deliveries number of women discharged within 48 hours of delivery,65862,47688
nan,Number of newborns received 6 HBNC&#xa0; visits after Institutional Delivery,328485,308962
M3 [Number of Caesarean (C-Section) deliveries],Total C -Section deliveries performed,218209,73056
nan,"C-sections, performed at night (8 PM- 8 AM)",29129,14047
M4 [Pregnancy outcome & details of new-born],Live Birth - Male,259969,114275
nan,Live Birth - Female,247790,108357
nan,Number of Pre term newborns (< 37 weeks of pregnancy),7816,7414
nan,Still Birth,4872,3146
nan,Abortion (spontaneous),6687,6194
nan,MTP up to 12 weeks of pregnancy,1055,750
nan,MTP more than 12 weeks of pregnancy,461,416
nan,Post Abortion/ MTP Complications Identified,35,35
nan,Post Abortion/ MTP Complications Treated,35,35
nan,Number of women provided with post abortion/ MTP contraception,56,56
nan,Number of newborns weighed at birth,500311,219848
nan,Number of newborns having weight less than 2.5 kg,21421,19503
nan,Number of Newborns breast fed within 1 hour of birth&#xa0;,496209,217607
M5 [Complicated Pregnancies],"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",24054,24054
nan,Number of Complicated pregnancies treated with Blood Transfusion,12221,12221
M6 [Post Natal Care (PNC)],Women receiving 1st post partum checkups within 48 hours of home delivery,5027,5027
nan,Women receiving 1st post partum checkup between 48 hours and 14 days,419433,385406
nan,Number of mothers provided full course of 180 IFA tablets after delivery,344036,335889
nan,Number of mothers provided full course of 360 Calcium tablets after delivery,280636,272489
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],New RTI/STI cases identified - Male,28797,28736
nan,New RTI/STI cases identified - Female,45279,45147
nan,RTI/STI for which treatment initiated - Male,26891,26830
nan,RTI/STI for which treatment initiated -Female,42153,42021
M8 [Family Planning],Number of Non Scalpel Vasectomy (NSV) / Conventional Vasectomy conducted,101,63
nan,Number of Laparoscopic sterilizations (excluding post abortion) conducted,256,109
nan,Number of Interval Mini-lap (other than post-partum and post abortion) sterilizations conducted,28769,11005
nan,Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted,44227,23937
nan,Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted,268,268
nan,Number of Interval IUCD Insertions (excluding PPIUCD and PAIUCD),55716,27014
nan,Number of Postpartum (within 48 hours of delivery) IUCD insertions,1879,1800
nan,Number of Post Abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions,233,233
nan,Number of IUCD Removals,3795,3795
nan,Number of complications following IUCD Insertion,498,498
nan,Injectable Contraceptive-Antara Program- First Dose,270,270
nan,Injectable Contraceptive-Antara Program- Second Dose,145,145
nan,Injectable Contraceptive-Antara Program- Third Dose,202,202
nan,Injectable Contraceptive-Antara Program- Fourth or more than fourth,680,680
nan,Number of Combined Oral Pill cycles distributed,1499404,1499404
nan,Number of Condom pieces distributed,14067060,14067060
nan,Number of Centchroman (weekly) pill strips distributed,62589,62589
nan,Number of Emergency Contraceptive Pills (ECP) given,13884,13884
nan,Number of Pregnancy Test Kits (PTK) used,349705,349705
nan,Complications following male sterilization,0,0
nan,Complications following female sterilization,0,0
nan,Failures following male sterilization,0,0
nan,Failures following female sterilization,0,0
nan,Deaths following male sterilization,0,0
nan,Deaths following female sterilization,0,0
M9 [CHILD IMMUNISATION],Child immunisation - Vitamin K (Birth Dose),436758,217579
nan,Child immunisation - BCG,524452,394618
nan,Child immunisation - DPT1,1839,1839
nan,Child immunisation - DPT2,1418,1418
nan,Child immunisation - DPT3,1019,1019
nan,Child immunisation - Pentavalent 1,517059,509105
nan,Child immunisation - Pentavalent 2,509099,500523
nan,Child immunisation - Pentavalent 3,522612,507278
nan,Child immunisation - OPV 0 (Birth Dose),489269,311063
nan,Child immunisation - OPV1,517168,508513
nan,Child immunisation - OPV2,508295,499381
nan,Child immunisation - OPV3,519719,504903
nan,Child immunisation - Hepatitis-B0 (Birth Dose),471579,240976
nan,Child immunisation - Hepatitis-B1,2317,2317
nan,Child immunisation - Hepatitis-B2,1861,1861
nan,Child immunisation - Hepatitis-B3,5391,1891
nan,Child immunisation - Inactivated Injectable Polio Vaccine 1 (IPV 1),513602,505399
nan,Child immunisation - Inactivated Injectable Polio Vaccine 2 (IPV 2),511243,503112
nan,Child immunisation - Rotavirus 1,510915,501341
nan,Child immunisation - Rotavirus 2,502103,491880
nan,Child immunisation - Rotavirus 3,507425,499578
nan,Child Immunisation- PCV 1,0,0
nan,Child Immunisation- PCV 2,0,0
nan,Child Immunisation- PCV Booster,0,0
nan,Child immunisation (9-11months) - Measles & Rubella (MR)/ Measles containing vaccine(MCV) - 1st Dose,531576,510442
nan,Child immunisation (9-11months) - Measles 1st dose,8752,8752
nan,Child immunisation (9-11months) - JE 1st dose,171425,171105
nan,Children aged between 9 and 11 months fully immunized- Male,278990,266859
nan,Children aged between 9 and 11 months fully immunized - Female,255175,244779
nan,Child immunisation(9 - 11 months) - Inactivated Injectable Polio Vaccine 3 (IPV 3),nan,nan
nan,Child immunisation(after 12 months) - Measles & Rubella (MR)/Measles containing vaccine(MCV)- 1st Dose,27992,27992
nan,Child immunisation (after 12 months) - Measles-1st dose,2986,2986
nan,Child immunisation (after 12 months) - JE 1st dose,10611,10611
nan,Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),475746,474528
nan,Child immunisation - Measles 2nd dose (More than 16 months),9203,9203
nan,Child immunisation - DPT 1st Booster,482855,481574
nan,Child immunisation - OPV Booster,481769,480475
nan,"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",2173,2173
nan,Number of children more than 16 months of age who received Japanese Encephalitis (JE) vaccine,146124,145817
nan,Child immunisation - Typhoid,415,415
nan,Children more than 5 years received DPT5 (2nd Booster),508681,497854
nan,Children more than 10 years received TT10/ Td10,451800,444750
nan,Children more than 16 years received TT16/ Td16,426003,418408
nan,Number of cases of AEFI - Abscess,6,6
nan,Number of cases of AEFI - Death,0,0
nan,Number of cases of AEFI - Others,162,162
nan,Immunisation sessions planned,424217,424217
nan,Immunisation sessions held,408108,408108
nan,Number of Immunisation sessions where ASHAs were present,374253,374253
nan,Child immunisation - Vitamin A Dose - 1,534577,520695
nan,Child immunisation - Vitamin A Dose - 5,481400,479322
nan,Child immunisation - Vitamin A Dose - 9,588973,587278
nan,Number of children (6-59 months) provided 8-10 doses (1ml) of IFA syrup (Bi weekly),6173549,6173549
nan,Number of children (12-59 months) provided Albendazole,1069277,1069277
nan,Number of severely underweight children provided Health Checkup (0-5 years),25934,25934
M10 [Number of cases of Childhood Diseases (0-5 years)],Childhood Diseases - Pneumonia,1746,1746
nan,Childhood Diseases - Asthma,2053,2053
nan,Childhood Diseases - Sepsis,753,753
nan,Childhood Diseases - Diphtheria,0,0
nan,Childhood Diseases - Pertussis,0,0
nan,Childhood Diseases - Tetanus Neonatorum,0,0
nan,Childhood Diseases - Tuberculosis (TB),198,198
nan,Childhood Diseases - Acute Flaccid Paralysis(AFP),30,25
nan,Childhood Diseases - Measles,32,32
nan,Childhood Diseases - Malaria,379,379
nan,Childhood Diseases - Diarrhoea,16900,16900
nan,Childhood Diseases - Diarrhoea treated in Inpatients,2980,2980
nan,Children admitted with Respiratory Infections,3273,3273
nan,Childhood Diseases - Severe Acute Malnutrition (SAM),835,835
M11 [NVBDCP],Total Blood Smears Examined for Malaria,1599974,1599974
nan,Malaria (Microscopy Tests ) - Plasmodium Vivax test positive,3235,3235
nan,Malaria (Microscopy Tests ) - Plasmodium Falciparum test positive,1062,1062
nan,RDT conducted for Malaria,447719,447719
nan,Malaria (RDT) - Plasmodium Vivax test positive,741,741
nan,Malaria (RDT) - Plamodium Falciparum test positive,565,565
nan,Kala Azar (RDT) - Tests Conducted,665,665
nan,Kala Azar Positive Cases,8,8
nan,Post-kala-azar dermal leishmaniasis (PKDL) cases,9,9
nan,Dengue - RDT Test Positive,642,642
nan,Dengue - Enzyme- Linked Immuno Sorbent Assay (ELISA) Test Positive,469,469
nan,Tests Conducted for JE,3,3
nan,Tests Positive for JE,0,0
M12 [Adolescent Health],Girls registered in AFHC,45493,45493
nan,Boys registered in AFHC,34742,34742
nan,"Out of registered, Girls received clinical services",29474,29474
nan,"Out of registered, Boys received clinical services",24880,24880
nan,"Out of registered, Girls received counselling",33570,33570
nan,"Out of registered, Boys received counselling",27995,27995
"M13 [Directly Observed Treatment, Short-course (DOTS)]",Number of on-going DOTS patients registered,42995,42264
nan,Number of DOTS cases completed successfully,27337,26133
M14 [Patient Services],Outpatient - Diabetes,1808082,1808082
nan,Outpatient - Hypertension,1910185,1910185
nan,Outpatient - Stroke (Paralysis),18492,18492
nan,Outpatient - Acute Heart Diseases,28292,28292
nan,Outpatient - Mental illness,106274,106274
nan,Outpatient - Epilepsy,21914,21914
nan,Outpatient - Ophthalmic Related,281574,281574
nan,Outpatient - Dental,319810,319810
nan,Outpatient - Oncology,11337,11337
